ファイル名,ページ番号,日付,店名,合計金額,登録番号,アラート
receipt_images.pdf,1,2025-04-02,LAWSON 宮川店,500,不明,登録番号なし
receipt_images.pdf,2,2025-04-06,ニンニクラーメン天洋 野田店,1500,T9120002064254,
receipt_images.pdf,3,n/a,n/a,n/a,n/a,n/a
receipt_images.pdf,4,2025-04-07,株式会社インデアン,3670,T3120001060920,
receipt_images.pdf,5,n/a,n/a,n/a,n/a,n/a
receipt_images.pdf,6,2025-04-03,フリーズ・フレーム・ジャパン株式会社,6050,T1010001124052,
receipt_images.pdf,7,n/a,n/a,n/a,n/a,n/a
receipt_images.pdf,8,2025-04-03,フリーズ・フレーム・ジャパン株式会社,2500,T1010001124052,
receipt_images.pdf,9,n/a,n/a,n/a,n/a,n/a
receipt_images.pdf,10,2025-05-20,3レター株式会社,720,T8290001084667,
receipt_images.pdf,11,n/a,n/a,n/a,n/a,n/a
receipt_images.pdf,12,2025-05-20,イオンペット株式会社,3608,T13040001006808,
receipt_images.pdf,13,2025-05-27,本庄東エコキューブ,800,T9120001108136,
receipt_images.pdf,14,2025-05-01,FamilyMart 西宮名次町店,1260,T6140002057300,
receipt_images.pdf,15,2025-05-01,LAWSON 津中央北店,1140,不明,登録番号なし
receipt_images.pdf,16,2025-05-01,コーナン商事株式会社,107,T3120101003135,
receipt_images.pdf,17,2025-05-01,株式会社クレスト,200,T5013301024133,
receipt_images.pdf,18,2025-05-05,一般財団法人自転車センター,1350,T9120105005394,
receipt_images.pdf,19,2025-05-06,LAWSON 津上弁財町店,430,T2190001000292,
receipt_images.pdf,20,2025-05-10,株式会社アワーズ,1200,T2120101027333,
receipt_images.pdf,21,2025-05-09,cucina RIFUKA,6040,T4140001000411,
receipt_images.pdf,22,n/a,n/a,n/a,n/a,n/a
receipt_images.pdf,23,2025-05-09,有限会社 幸鮨,31240,T5170002009316,
receipt_images.pdf,24,n/a,n/a,n/a,n/a,n/a
receipt_images.pdf,25,2025-05-13,株式会社 カインズ,3958,T3070001006474,
receipt_images.pdf,26,2025-05-10,海鮮れすとらん勘八屋,13332,T9170002009205,
receipt_images.pdf,27,2025-05-17,シエル動物病院,11000,不明,登録番号なし
receipt_images.pdf,28,n/a,n/a,n/a,n/a,n/a
receipt_images.pdf,29,2025-05-30,あかり紀伊田辺 駐車場,350,T5170001000077,
receipt_images.pdf,30,n/a,n/a,n/a,n/a,n/a
receipt_images.pdf,31,2025-05-20,FamilyMart 博多リバレイン店,960,T6290002008131,
